filament_id,tier,length_mpc_h,ngal_endpoint1,ngal_endpoint2,richness_sum,redshift_mean,endpoint1_ra,endpoint1_dec,endpoint2_ra,endpoint2_dec,center_ra,center_dec,angular_sep_deg,n_member_galaxies,lum_endpoint1,lum_endpoint2,pass_L_ge_15,pass_z_01_02,pass_ang_sep_05,pass_ngal_ge_15,pass_ngal_ge_10,pass_kids_footprint
84,A_primary,27.14,21,27,48,0.1074,133.1915,-0.0554,135.9737,2.2188,134.5826,1.0817,3.593,90,28.07,45.76,True,True,True,True,True,True
282,A_primary,28.24,20,28,48,0.1101,181.2245,1.2458,179.1271,-0.54,180.1758,0.3529,2.755,70,27.06,39.64,True,True,True,True,True,True
4506,A_primary,16.78,21,25,46,0.1134,197.2202,-1.5608,199.1064,-0.7942,198.1633,-1.1775,2.036,44,28.52,32.93,True,True,True,True,True,True
4764,A_primary,17.63,21,24,45,0.1268,214.7926,0.9793,217.423,1.0332,216.1078,1.0063,2.631,76,45.14,49.46,True,True,True,True,True,True
86,A_primary,31.53,20,22,42,0.1102,187.3913,-0.6525,192.2749,0.6165,189.8331,-0.018,5.046,103,23.01,24.92,True,True,True,True,True,True
7830,A_primary,17.65,19,23,42,0.1162,211.5474,-1.9913,213.3238,-0.528,212.4356,-1.2596,2.301,71,34.03,40.13,True,True,True,True,True,True
2104,A_primary,20.16,18,23,41,0.1209,226.0629,-1.6136,229.22,-1.2776,227.6415,-1.4456,3.174,58,32.01,38.56,True,True,True,True,True,True
2316,A_primary,24.78,16,24,40,0.1212,228.9743,-0.3219,230.841,1.4976,229.9076,0.5878,2.607,116,25.86,41.79,True,True,True,True,True,True
3585,A_primary,17.3,19,20,39,0.1252,231.7591,-0.9673,233.2482,-1.8316,232.5036,-1.3994,1.721,70,26.43,28.32,True,True,True,True,True,True
3158,A_primary,27.71,18,20,38,0.1391,199.8671,0.5881,203.3871,2.4417,201.6271,1.5149,3.977,84,38.15,43.68,True,True,True,True,True,True
1971,A_primary,18.15,15,22,37,0.1048,168.4774,1.9788,166.2858,2.0538,167.3816,2.0163,2.192,50,21.32,29.78,True,True,True,True,True,True
2949,A_primary,29.8,17,20,37,0.1181,218.312,-0.4291,218.2043,1.9075,218.2582,0.7392,2.339,117,22.9,26.75,True,True,True,True,True,True
1688,A_primary,20.65,17,19,36,0.1247,168.711,-0.3481,165.8104,1.2243,167.2607,0.4381,3.299,84,30.94,32.77,True,True,True,True,True,True
4221,A_primary,25.7,16,20,36,0.1027,213.9428,-2.5364,217.1997,0.7872,215.5712,-0.8746,4.653,69,19.36,22.66,True,True,True,True,True,True
4123,A_primary,21.11,16,19,35,0.1092,180.1051,-2.9922,176.2832,-2.9198,178.1941,-2.956,3.818,55,22.2,26.26,True,True,True,True,True,True
1287,A_primary,16.03,15,18,33,0.1147,229.3987,0.5879,230.2253,2.1203,229.812,1.3541,1.741,52,21.28,27.04,True,True,True,True,True,True
3407,A_primary,16.71,15,17,32,0.1122,168.1788,-0.7289,165.8873,0.1923,167.033,-0.2683,2.47,56,19.79,22.21,True,True,True,True,True,True
10190,A_primary,23.58,16,16,32,0.1254,185.2635,-0.7756,183.7312,1.1013,184.4974,0.1628,2.423,64,29.11,29.11,True,True,True,True,True,True
2911,A_primary,20.07,15,16,31,0.1502,220.9608,-1.0362,219.1196,1.255,220.0402,0.1094,2.939,66,39.32,44.1,True,True,True,True,True,True
1890,B_relaxed,20.12,14,18,32,0.1031,166.6518,-1.0828,163.8079,1.4987,165.2298,0.2079,3.841,42,16.67,21.9,True,True,True,False,True,True
949,B_relaxed,18.26,13,17,30,0.1384,218.5021,0.173,220.5493,2.2783,219.5257,1.2256,2.936,57,19.7,26.96,True,True,True,False,True,True
811,B_relaxed,20.18,14,14,28,0.1282,215.6449,-0.9315,213.1361,-0.6027,214.3905,-0.7671,2.53,44,19.88,19.88,True,True,True,False,True,True
5771,B_relaxed,16.14,12,16,28,0.1261,214.658,-2.533,213.8568,-0.5055,214.2574,-1.5193,2.18,36,24.31,29.5,True,True,True,False,True,True
36,B_relaxed,17.61,13,14,27,0.1133,156.6831,-0.6675,155.1052,1.9779,155.8942,0.6552,3.08,47,16.84,17.58,True,True,True,False,True,True
2378,B_relaxed,16.63,12,13,25,0.1146,211.6799,-0.5511,212.2566,1.9664,211.9682,0.7077,2.583,46,18.96,21.77,True,True,True,False,True,True
5180,B_relaxed,16.71,11,14,25,0.1163,228.6372,-2.2636,229.3934,-0.5128,229.0153,-1.3882,1.907,27,19.18,23.04,True,True,True,False,True,True
4091,B_relaxed,17.57,11,13,24,0.1131,228.9067,-1.9957,231.16,-2.4017,230.0333,-2.1987,2.288,40,17.9,21.62,True,True,True,False,True,True
4162,B_relaxed,17.57,11,12,23,0.1479,201.8362,-1.2858,204.1225,-1.8211,202.9793,-1.5535,2.347,41,23.72,25.37,True,True,True,False,True,True
1725,C_allsky,40.65,79,107,186,0.1009,128.5871,16.365,125.9999,19.8898,127.2935,18.1274,4.298,154,103.29,131.3,True,True,True,True,True,False
1262,C_allsky,63.83,71,82,153,0.1031,228.9814,4.1483,227.2134,9.6868,228.0974,6.9176,5.81,173,101.9,117.72,True,True,True,True,True,False
